aoi_id,aoi_name,risk_share_2024_pct,risk_share_2025_pct,delta_pp,run_timestamp
civ_soubre_33km,"Soubré, CIV",2.28,2.74,0.45,2026-06-08T00:00:00Z
gha_sefwi_wiawso_33km,"Sefwi-Wiawso, GHA",5.13,6.05,0.93,2026-06-08T00:00:00Z
