aoi_id,aoi_name,country,window_size_km,center_lon,center_lat,hansen_vintage,gfc_asset,plantation_layer_id,plantation_layer_version,plantation_threshold_tau,treecover2000_threshold_pct,hansen_lossyear_cutoff,plantation_ha,risk_ha,risk_share_pct,topology,radd_activity_level,run_timestamp
civ_soubre_33km,"Soubré, CIV",CIV,33,-6.6033,5.7833,hansen_v2024_v1_12,UMD/hansen/global_forest_change_2024_v1_12,projects/forestdatapartnership/assets/cocoa/model_2025a,2025a,0.5,30,21,73522.7,1679.4,2.28,smallholder_mosaic,low,2026-06-08T00:00:00Z
civ_soubre_33km,"Soubré, CIV",CIV,33,-6.6033,5.7833,hansen_v2025_v1_13,UMD/hansen/global_forest_change_2025_v1_13,projects/forestdatapartnership/assets/cocoa/model_2025a,2025a,0.5,30,21,73522.7,2013.3,2.74,smallholder_mosaic,low,2026-06-08T00:00:00Z
gha_sefwi_wiawso_33km,"Sefwi-Wiawso, GHA",GHA,33,-2.5,6.2,hansen_v2024_v1_12,UMD/hansen/global_forest_change_2024_v1_12,projects/forestdatapartnership/assets/cocoa/model_2025a,2025a,0.5,30,21,76522.9,3922.6,5.13,commercial_large_blocks,high,2026-06-08T00:00:00Z
gha_sefwi_wiawso_33km,"Sefwi-Wiawso, GHA",GHA,33,-2.5,6.2,hansen_v2025_v1_13,UMD/hansen/global_forest_change_2025_v1_13,projects/forestdatapartnership/assets/cocoa/model_2025a,2025a,0.5,30,21,76522.9,4633.3,6.05,commercial_large_blocks,high,2026-06-08T00:00:00Z
